current_owner,count
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,953
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,670
0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,420
0x0232d1083e970f0c78f56202b9a666b526fa379f,241
0xa25803ab86a327786bb59395fc0164d826b98298,237
0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,220
0xb88f61e6fbda83fbfffabe364112137480398018,218
0x2238c8b16c36628b8f1f36486675c1e2a30debf1,195
0x69021ae8769586d56791d29615959997c2012b99,145
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,142
0x26f744711ee9e5079cbeaf318ba8a8e938844de6,141
0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,117
0x269616d549d7e8eaa82dfb17028d0b212d11232a,115
0x4084df8bf74ba73f04eb39b89df698608df7f4b5,98
0x31a5ff62a1b2c0f030aee1661eab6513ae676e23,96
0xcc2a855946a3c20683858fe6ee15acf8b836f0b3,89
0x6639c089adfba8bb9968da643c6be208a70d6daa,86
0x062c5432107e3b9ad924512209a7468b5c200fcd,78
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,70
0x2be665ee27096344b8f015b1952d3dfdb4db4691,65
0x6301add4fb128de9778b8651a2a9278b86761423,65
0xf5a4ba515dd36a42e9634a3ac1f1c58fa24d3acd,64
0xf68e4d63c8ea83083d1cb9858210cf2b03d8266b,62
0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,57
0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,56
0xff36ff458b51dcd034598c56f65a8491427dc572,51
0x6611fe71c233e4e7510b2795c242c9a57790b376,51
0x4d8e16a70f38414f33e8578913eef6a0e4a633b5,51
0x2cc12318de28edc9c753f7cb22100890af630c2d,44
0xf65c1c42745606e397bb2993e25e09382a16fb87,43
0x005734d7d408bccf41cff34b46244551d01f0a6b,43
0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,43
0xb47a70df538b9a3b591bc5d75da66a04c879b291,42
0x8234be55f64ea91960b78357906cf5bebce81f3d,41
0x810fdbc7e5cfe998127a1f2aa26f34e64e0364f4,39
0xca8fe4acb1cb8b5550a3c71ffe2399f6c7016686,37
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,37
0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,36
0x530afa101bed324809d0738d45b38a669314ff54,36
0xc6a8206756fbcb770770523e2de26bcc351a8713,35
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,33
0xc47af8f0aeaadba922afa60c3018427a9a100a03,31
0x8b27de7f6a7542ee70e2420e1bc67fc479d01984,31
0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,30
0x66c7a7348250f453a37cf86410a946f9668de386,29
0x58164b2d74c45f06cde451fc307092d55ebe5730,29
0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,28
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,28
0x7583534d2f2c3699b1acd11b9f2fac9c35acc45c,28
0x052564eb0fd8b340803df55def89c25c432f43f4,27
0xbbaec56b725a0b9501a655d7d1b48555af637b70,27
0x0b88fd87884080bd6d93d341fcca0eea76b03e75,27
0xb0dafc466871c29662e5cbf4227322c96a8ccbe9,26
0xc352b534e8b987e036a93539fd6897f53488e56a,26
0x2c81cee7050c9d03295560851ffde123bdf9696a,25
0x0f4023208058ecffcb22a7409df11f6d6013fe8a,25
0xb4bb4156e5e6ca5d81041f616c27dffb253b7845,25
0x650dcdeb6ecf05ae3caf30a70966e2f395d5e9e5,24
0xe45df57df7980d8219a5ea811aff949907d0a355,24
0x5b098b00621eda6a96b7a476220661ad265f083f,23
0x13816f65ba8195768e6825eb774fd3c6a05a0ac8,22
0x505d79c7379ee65b6c2d6d18a0e7ab901b00756c,22
0x91338ccfb8c0adb7756034a82008531d7713009d,21
0xfe2f279d3679bac2d07cf46c93503410ef9ca448,21
0x1a96afe48e215c47d80eeff6eef64685247c2503,21
0x8088d74111a2368f5b7f0064a581d3bb72e6527e,20
0x163e10cccfbc559c7d28eecf0e27ef10888f6607,20
0xeb8ffc68f50e5d4b640090e6e4d540057d3a8af7,19
0x0845fc89c51b2bcd1c3b0db9dbca497d641ec7d3,19
0xc98a513970f320b11ab408c12eef176292e227bf,19
0x4c54d41126a56f45f181cc4abc3b5ed5452bc8e1,19
0x44fab57dba0e643018c06d83cc8d658980b7ee08,19
0x2754637ab168ff25412b74997c0e4f43c30bb323,19
0x3be89b64e1437bb18da2d26bcbe9bd3daaadfc26,19
0x8f6b1e467fbe74d7dd43d59de0558f693c736798,19
0x6ec30fd91a504aad948839b985c7263888b2ad68,18
0xd5b171571df3bc207baf2edb175b6ff3820f53a4,18
0x7b8440cdd39958850c0e549fcbd8cf4009eb6f26,18
0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,17
0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,17
0x682c303ce4c38c275cf23b38656340d6ba322832,17
0x3295df41a2f288da03818ae32565e1599f1b2eee,17
0x68a7ac13477aad590982293feeeb786a00276cf2,17
0xdd9d84399a8e81602e89f5bfef4c138b7908fc55,17
0xee3766e4f996dc0e0f8c929954eaafef3441de87,17
0x03205743e7fc513a073ae39097204cb07591b910,17
0xc272ed09c636edb6e858fa8702c182406185f1af,16
0xc480fb0ebea2591470f571436926785be5ebcd22,16
