punkIndex,eth_value,transfer_count,attribute_list
9998,124620.0675,4,[Wild White Hair Black Lipstick Clown Eyes Green]
5822,8000.0,2,[Bandana]
7804,4200.0,2,[Cap Forward Pipe Small Shades]
2924,3312.0,4,[Hoodie]
4156,3153.29,6,[Bandana]
2140,2750.0,3,[Knitted Cap Small Shades]
7252,2600.0,2,[Chinstrap Earring Crazy Hair]
5577,2501.0,1,[Cowboy Hat]
4464,2500.0,1,[Eye Mask Vape Do-rag]
5217,2252.5,2,[Gold Chain Knitted Cap]
8857,2002.5,2,[Wild Hair 3D Glasses]
2338,1508.49,4,[Mohawk Thin]
8531,1375.0,2,[Stringy Hair Goat Regular Shades]
4608,1343.64,9,[Hoodie Goat]
6649,1306.9,6,[Front Beard Dark Crazy Hair]
2681,1260.0,3,[Clown Eyes Blue Cap]
7121,1180.0,1,[Frumpy Hair Horned Rim Glasses]
2066,1155.0,2,[Knitted Cap]
2964,1138.5,4,[Beanie]
3831,1079.99,6,[Vampire Hair Big Shades Medical Mask]
7756,1053.59,5,[Shadow Beard Horned Rim Glasses Do-rag]
5944,1015.0,2,[Mohawk]
6275,1000.0,2,[Shadow Beard Mohawk Dark]
9322,929.76,15,[Cap Shadow Beard Eye Patch]
8888,921.9,2,[Red Mohawk Eye Mask]
2996,912.5,12,[Handlebars Do-rag]
9001,889.57,10,[Clown Nose Bandana Nerd Glasses]
5486,881.99,8,[Hoodie Muttonchops Vape Earring Eye Patch]
9112,863.48,9,[Buck Teeth Shadow Beard Mohawk Dark]
5066,857.0,1,[Earring Knitted Cap Smile]
8091,845.3569,14,[Knitted Cap Regular Shades]
1446,830.38,12,[Pigtails Hot Lipstick]
8472,830.0,2,[Mohawk Thin Small Shades]
2976,825.47,14,[Headband Regular Shades]
6965,815.9,4,[Fedora]
2310,815.85,7,[Hoodie Big Shades Chinstrap]
7656,813.64,6,[Beanie Handlebars]
3609,789.0,3,[Earring Do-rag]
6645,765.7,9,[Front Beard Vape Crazy Hair]
9197,760.76482,13,[Front Beard Dark Shaved Head]
3825,758.34,11,[Cigarette Big Shades Do-rag]
9476,757.5,4,[Cigarette Hoodie VR]
793,751.64,7,[Shadow Beard Purple Hair]
8865,750.0,3,[Beanie Horned Rim Glasses]
9749,737.0,6,[Beanie Chinstrap Eye Patch]
6634,735.0,4,[Cigarette Hoodie Earring 3D Glasses]
2224,730.47,9,[Earring Goat Do-rag]
7622,723.54,8,[Black Lipstick Spots Green Eye Shadow Dark Hair]
3994,702.64,6,[Shadow Beard Crazy Hair Small Shades]
3307,699.99,4,[]
8191,699.2069,4,[Normal Beard Black Frown Top Hat 3D Glasses Mole]
1482,699.03,14,[Cigarette Mohawk]
7674,696.38,3,[Hoodie Nerd Glasses Normal Beard Pipe]
2484,691.99,4,[Wild Hair Classic Shades]
9844,688.0,7,[Mole Pilot Helmet Purple Lipstick]
5924,682.19,6,[Normal Beard Black Big Shades Cowboy Hat]
406,665.99,5,[Hoodie Nerd Glasses]
8457,658.579,12,[Frumpy Hair Normal Beard Clown Eyes Green]
3661,657.4,10,[Vampire Hair]
1781,654.25,12,[Normal Beard Headband]
286,650.01,10,[Wild Hair Goat]
6487,650.0,2,[]
6828,647.0398,11,[Peak Spike Handlebars Eye Patch]
8334,645.22,11,[Muttonchops Fedora Classic Shades]
9373,644.99,2,[Black Lipstick Pilot Helmet Cigarette]
9416,642.4399999999999,5,[Fedora Earring Goat]
3783,640.385,7,[Do-rag Eye Patch]
6652,635.02,8,[Messy Hair Frown]
512,633.1800000000001,6,[Cigarette Hoodie]
3737,621.88,13,[Stringy Hair Luxurious Beard Small Shades]
2354,621.795,14,[Bandana Clown Eyes Green]
2367,620.7,6,[Cap]
3533,619.0699999999999,12,[Stringy Hair Mustache]
3990,618.0,3,[Hoodie Front Beard Dark]
7564,617.42,13,[Rosy Cheeks Shaved Head]
2834,617.2,10,[Front Beard Fedora]
3836,615.39,8,[Front Beard Crazy Hair]
7163,614.0,6,[Fedora Vape Horned Rim Glasses Big Beard]
6790,613.14,12,[Messy Hair Earring Goat]
3173,609.51,14,[Cap Forward Front Beard Dark Horned Rim Glasses Mole]
489,605.87,9,[Classic Shades Do-rag]
8285,605.55,14,[Cigarette Normal Beard Mohawk Dark]
3239,603.81,8,[Horned Rim Glasses Shaved Head]
3193,603.46,17,[Peak Spike Clown Eyes Green]
6721,599.0,3,[Hoodie Smile]
339,598.49,5,[Mole Cap Big Shades Black Lipstick Earring]
8083,596.83,7,[Front Beard Purple Hair Mole]
6676,595.5699999999999,11,[Mohawk Thin Silver Chain]
3854,595.51,9,[Police Cap Earring]
2832,593.74,16,[Horned Rim Glasses Straight Hair]
1556,592.84,9,[Pigtails Purple Lipstick Earring]
6747,591.14,6,[Nerd Glasses Cowboy Hat]
8713,590.14,6,[Hoodie Horned Rim Glasses]
8970,588.04,14,[Muttonchops Mohawk Dark]
2306,586.0,2,[Cigarette Mohawk Thin Earring]
5827,585.7,6,[Hoodie Normal Beard Regular Shades]
486,584.95,11,[Straight Hair Blonde Hot Lipstick]
9562,583.49,9,[Muttonchops Earring Nerd Glasses Crazy Hair]
7233,578.37,9,[Cap Forward Muttonchops Earring]
9764,576.9,9,[Buck Teeth Front Beard Dark Mohawk Dark]
